Link,Title, Price  
https://www.amazon.com//ASUS-TUF-IPS-Type-i7-9750H-Processor/dp/B08SHN8MDY/ref=sr_1_143?keywords=laptop&qid=1653585584&sr=8-143,"2021 ASUS TUF Gaming Laptop, 15.6” 144Hz FHD IPS Display, 11th Gen Intel Core i7-11800H (up to 4.60Ghz), GeForce RTX 3050, 16GB DDR4 RAM, 1TB PCIe NVMe SSD, Backlit KB, Windows 10","$1,249.99 "
https://www.amazon.com//ASUS-Ultra-Slim-Graphics-NumberPad-UM425QA-EH74/dp/B09LCGRL9V/ref=sr_1_48?keywords=laptop&qid=1653585564&sr=8-48,"ASUS ZenBook 14 Ultra-Slim Laptop 14” FHD Display, AMD Ryzen 7 5800H CPU, Radeon Vega 7 Graphics, 16GB RAM, 1TB PCIe SSD, NumberPad, Windows 11 Pro, Pine Grey, UM425QA-EH74",$999.99 
https://www.amazon.com//ASUS-Ultra-Slim-NanoEdge-NumberPad-UM325UA-DH51/dp/B09LYK33KN/ref=sr_1_296?keywords=laptop&qid=1653585614&sr=8-296,"ASUS ZenBook 13 OLED Ultra-Slim Laptop, 13.3” OLED FHD NanoEdge Bezel Display, AMD Ryzen 5 5500U, 8GB LPDDR4X RAM, 512GB PCIe SSD, NumberPad, Wi-Fi 5, Windows 11 Home, Pine Grey, UM325UA-DH51",$799.99 
https://www.amazon.com//ASUS-Ultra-Slim-Thunderbolt-Noise-Cancellation-UX325EA-DH51/dp/B09LXHXPNV/ref=sr_1_35?keywords=laptop&qid=1653585564&sr=8-35,"ASUS ZenBook 13 Ultra-Slim Laptop, 13.3 OLED NanoEdge, Intel Evo Platform i5-1135G7, 8GB LPDDR4X RAM, 256GB SSD, Thunderbolt 4, Wi-Fi 6, Windows 11 Home, AI Noise-Cancellation, Pine Grey, UX325EA-DH51",$799.99 
https://www.amazon.com//ASUS-Vivobook-15-6-Display-Laptop/dp/B09BCVB3TG/ref=sr_1_136?keywords=laptop&qid=1653585584&sr=8-136,"ASUS Vivobook 15.6"" FHD Display Laptop - Intel i7-1065G7(Beats Ryzen 7 3700U) - Intel HD Graphics 6000 , Webcam, WiFi, Bluetooth, HDMI, Windows 10S,Grey (20GB|512GB SSD, i7-1065G7)",$848.99 
https://www.amazon.com//ASUS-VivoBook-Backlit-Keyboard-Bluetooth/dp/B07Y5PK8SC/ref=sr_1_175?keywords=laptop&qid=1653585589&sr=8-175,"2020 ASUS VivoBook 15 15.6 Inch FHD 1080P Laptop (AMD Ryzen 3 3200U up to 3.5GHz, 16GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 3, Backlit Keyboard, FP Reader, WiFi, Bluetooth, HDMI, Windows 10) (Grey)",$501.00 
https://www.amazon.com//ASUS-VivoBook-Display-Fingerprint-TM420UA-DS71T/dp/B091XRXRNP/ref=sr_1_70?keywords=laptop&qid=1653585570&sr=8-70,"ASUS VivoBook Flip 14 Thin and Light 2-in-1 Laptop, 14” FHD Touch Display, AMD Ryzen 7 5700U, 8GB RAM, 512GB SSD, Stylus, Windows 10 Home, Fingerprint Reader, Bespoke Black, TM420UA-DS71T",$679.99 
https://www.amazon.com//ASUS-VivoBook-Display-GeForce-M3500QC-DS71/dp/B09MMX24B8/ref=sr_1_100?keywords=laptop&qid=1653585578&sr=8-100,"ASUS VivoBook Pro 15 OLED Ultra Slim Laptop, 15.6” FHD OLED Display, AMD Ryzen 7 5800H CPU, NVIDIA GeForce RTX 3050, 16GB RAM, 512GB SSD, Windows 11 Home, Quiet Blue, M3500QC-DS71","$1,099.99 "
https://www.amazon.com//ASUS-VivoBook-Display-i3-1115G4-F515EA-AH34/dp/B09LC9JWW8/ref=sr_1_125?keywords=laptop&qid=1653585581&sr=8-125,"ASUS VivoBook 15 F515 Laptop, 15.6” FHD Display, Intel i3-1115G4 CPU, 8GB DDR4 RAM, 128GB SSD, Windows 11 Home in S Mode, Slate Grey, F515EA-AH34",$400.29 
https://www.amazon.com//ASUS-VivoBook-Display-N4020Processor-R565MA-RB05/dp/B09X9BP45X/ref=sr_1_38?keywords=laptop&qid=1653585564&sr=8-38,"ASUS VivoBook 15 R565MA Thin and Light Laptop, 15.6” HD Display, Intel Celeron N4020Processor, 4GB DDR4 SO-DIMM, 1TB SATA 5400RPM 2.5"" HDD, Windows 10 Home, Slate Grey, R565MA-RB05",$369.99 
https://www.amazon.com//ASUS-VivoBook-i3-1005G1-Fingerprint-F512JA-AS34/dp/B08FQJ7JT2/ref=sr_1_115?keywords=laptop&qid=1653585581&sr=8-115,"ASUS VivoBook 15 Thin and Light Laptop, 15.6Â” FHD Display, Intel i3-1005G1 CPU, 8GB RAM, 128GB SSD, Backlit Keyboard, Fingerprint, Windows 10 Home in S Mode, Slate Gray, F512JA-AS34 (Renewed)",$388.87 
https://www.amazon.com//ASUS-VivoBook-i5-1135G7-Processor-S533EA-DH51-GN/dp/B08KH5HWG9/ref=sr_1_167?keywords=laptop&qid=1653585589&sr=8-167,"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6” FHD Display, Intel Core i5-1135G7 Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 10 Home, Gaia Green, S533EA-DH51-GN",$609.98 
https://www.amazon.com//ASUS-VivoBook-i5-1135G7-Processor-S533EA-DH51-RD/dp/B08KGYMZRJ/ref=sr_1_40?keywords=laptop&qid=1653585564&sr=8-40,"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6” FHD Display, Intel Core i5-1135G7 Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 10 Home, Resolute Red, S533EA-DH51-RD",$699.99 
https://www.amazon.com//ASUS-VivoBook-i7-1165G7-Fingerprint-K513EQ-PB79/dp/B09F2VJGHJ/ref=sr_1_34?keywords=laptop&qid=1653585564&sr=8-34,"ASUS VivoBook 15 K513 Thin & Light Laptop, 15.6” FHD Display, Intel i7-1165G7 CPU, NVIDIA GeForce MX350, 16GB RAM, 512GB PCIe SSD, Fingerprint Reader, Windows 10 Home, Indie Black, K513EQ-PB79",$949.99 
https://www.amazon.com//ASUS-VivoBook-OLED-Laptop-WQUXGA/dp/B09NMS7S1K/ref=sr_1_94?keywords=laptop&qid=1653585574&sr=8-94,"ASUS VivoBook Pro 16X OLED Slim Laptop, 16” WQUXGA 16:10 Display, AMD Ryzen 9 5900HX CPU, NVIDIA GeForce RTX 3050 Ti, 32GB RAM, 1TB SSD, Windows 11 Pro, 0°Black, M7600QE-XB99","$1,599.99 "
https://www.amazon.com//Asus-X512DA-BTS2020RL-15-6-Full-Laptop/dp/B08G8SJZ2R/ref=sr_1_107?keywords=laptop&qid=1653585578&sr=8-107,"Asus X512DA-BTS2020RL 15.6"" Full HD Laptop – AMD Ryzen 5 - AMD Radeon Vega 8 - 512GB PCIe SSD – 8GB RAM",$529.99 
https://www.amazon.com//Asus-Zenbook-6-Cores-Graphics-Bluetooth/dp/B097QCJZGL/ref=sr_1_41?keywords=laptop&qid=1653585564&sr=8-41,"Asus Zenbook 14 inch FHD Laptop, AMD Ryzen 5 5500U, 6-Cores, up to 4 GHz, 8GB DDR4 RAM, 256GB PCle SSD, NVIDIA GeForce MX450 Graphics, Webcam, WiFi, Bluetooth, HDMI, Media Card Reader",$536.00 
https://www.amazon.com//ASUS-ZenBook-Display-GeForce-UM535QE-XH91T/dp/B09LYJZ8YC/ref=sr_1_72?keywords=laptop&qid=1653585570&sr=8-72,"ASUS ZenBook Pro 15 OLED Laptop 15.6” FHD Touch Display, AMD Ryzen 9 5900HX CPU, NVIDIA GeForce RTX 3050 Ti gpu, 16GB RAM, 1TB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-XH91T","$1,449.00 "
https://www.amazon.com//ASUS-ZenBook-OLED-Space-Laptop/dp/B09TD1FTP7/ref=sr_1_67?keywords=laptop&qid=1653585570&sr=8-67,"ASUS ZenBook 14X OLED Space Edition Laptop, 14” 2.8K 16:10 OLED Touch Display, Intel Core i9-12900H CPU, 32GB RAM, 1TB SSD, Windows 11 Pro, ZenVision Display, UX5401ZAS-XS99T","$1,999.99 "
https://www.amazon.com//ASUS-Zenbook-Ultra-Laptop-WQXGA/dp/B09V1S1M2Q/ref=sr_1_113?keywords=laptop&qid=1653585581&sr=8-113,"ASUS Zenbook 14 Flip OLED Ultra Slim Laptop, 14” WQXGA+ 16:10 OLED Touch Display, AMD Ryzen 7 5800H CPU, 16GB RAM, 512GB SSD, NumberPad, Windows 11 Home, Jade Black, UN5401QA-DH71T","$1,099.99 "
https://www.amazon.com//ASUS-Zephyrus-14-inch-GeForce-GA401IH-BR7N2BL/dp/B08CZLW29Z/ref=sr_1_304?keywords=laptop&qid=1653585614&sr=8-304,"ASUS ROG Zephyrus G14 14-inch FHD 512GB SSD 2.9GHz Ryzen 7 VR Ready Laptop (8GB RAM, 8-Core AMD Ryzen 7, GeForce GTX 1650) Eclipse Gray, GA401IH-BR7N2BL",$934.99 
